Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C11,C14,C18,C19,C20,C21,C22,C23,C24,C26",C_0402_1005Metric,C141382,11
1.5k,"R12,R13,R14,R17",R_0402_1005Metric,C25867,4
100,R8,R_0603_1608Metric,C22775,1
100nF,"C15,C17",C_0402_1005Metric,C1525,2
10k,"R10,R11,R15,R16,R6,R7",R_0402_1005Metric,C25531,6
10uF,C16,C_0402_1005Metric,C15525,1
10uF,"C1,C2,C3,C4,C5,C6,C7,C8",C_0603_1608Metric,C19702,8
1k,R1,R_0402_1005Metric,C25543,1
1uF,C25,C_0402_1005Metric,C52923,1
22.1k,R5,R_0402_1005Metric,C43473,1
4.7uF,"C12,C13,C9",C_0402_1005Metric,C23733,3
47.5k,R4,R_0402_1005Metric,C137974,1
5.1k,"R2,R3",R_0603_1608Metric,C23186,2
AP2112K-1.2,U5,SOT-23-5,C460310,1
AP2112K-1.8,U7,SOT-23-5,C3021123,1
AP2112K-2.5,U6,SOT-23-5,C49451993,1
AP2112K-3.3,U4,SOT-23-5,C51118,1
CP2102N-Axx-xQFN24,U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C969151,1
D_Schottky,D1,D_0603_1608Metric,C6770543,1
ICE40UP5K-SG48ITR,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.1x5.1mm,C2678152,1
LED,"D2,D4",LED_0402_1005Metric,C130723,2
LED_ARGB,D3,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,C7288905,1
R22,R9,R_0402_1005Metric,C25092,1
SG-210STF,Y1,Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,C728996,1
SW_Push,SW1,SW_Push_1P1T_NO_CK_KMR2,C221679,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2894897,1
W25Q128JVS,U2,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
Conn_02x03_Odd_Even,J5,PinHeader_2x03_P1.00mm_Vertical,,1
Conn_02x03_Odd_Even,J4,PinHeader_2x03_P1.00mm_Vertical,,1
TestPoint_Small,TP4,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP3,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP2,TestPoint_Pad_D1.0mm,,1
TestPoint_Small,TP1,TestPoint_Pad_D1.0mm,,1
Conn_01x07_Pin,J6,PinHeader_1x07_P2.54mm_Vertical,,1
Conn_01x20_Pin,J3,PinHeader_1x20_P2.54mm_Vertical,,1
Conn_01x20_Pin,J2,PinHeader_1x20_P2.54mm_Vertical,,1
